         NZ   AusB  Nin3  Nin4  NCal NEPac   IO    EI0   B+T  ZNZn  ZNZs
 200304  49.6  56.5 -10.0  62.6  70.5  13.6  57.8  91.9  37.9  45.9  64.0
 200305  46.3  50.6 -62.5  36.0  78.2  19.8  50.9  61.7  28.6  49.3  34.8
 200306  58.9  54.7 -35.0  56.3  50.9  18.3  65.6  82.4  43.9  56.8  67.0
 200307  70.2  52.7  38.7  67.4  39.6  52.2  65.2 112.1  51.2  69.0  74.7
 200308  49.7  43.5  25.1  71.5  10.6  51.6  50.2 118.7  40.9  44.3  70.8
 200309  43.6   9.7  39.5  77.6  21.1  78.9  34.1 105.6  30.8  41.3  52.3
 200310   3.5  -2.1  73.1  95.6  29.8  57.1  44.8  79.0  -1.2  -0.1  17.3
 200311  -9.6   7.8  69.7 109.6  -2.2  51.4  30.1  69.7 -15.4  -6.4 -22.3
 200312  28.5  27.6  71.7  80.4  36.4  28.4   6.9  55.3   4.0  39.2 -13.6
 200401  63.8   6.9  58.6  77.3  68.9  56.1  42.2 102.9  44.3  67.0  51.2
 200402  67.6   9.4  26.6  54.9 131.8 185.5  54.6  73.4  33.1  75.3  37.9
 200403 -29.7 -30.6  28.7  32.7  74.1 124.7  36.6  61.0 -49.3 -21.4 -62.5
 200404 -23.0   0.8   8.1  41.7  30.4 110.0  62.9  93.4 -48.4 -14.0 -58.4
 200405  32.8  -0.8  -4.2  63.8  47.1 123.7  62.0  62.4  13.3  36.3  19.3
 200406  24.6  -1.2  11.2  66.3  12.7 116.3  53.6  54.2  12.2  21.9  35.3
 200407  27.9  -6.6   2.5  98.0  24.2  69.6  38.8  39.7  12.3  27.3  30.0
 200408  17.5   6.0  29.2 102.7  10.7  51.9  11.3  38.3   8.1  15.2  26.4
 200409  -8.0  14.4  60.6 140.3  -8.5  47.3   9.2  22.7 -16.1  -6.0 -15.9
 200410  -6.6  14.6  73.8 131.9  12.4  21.9  26.5  49.6 -13.0  -3.1 -20.3
 200411  21.1   0.8  76.4 138.5   2.3  14.4  13.3  60.3  14.4  22.9  14.4
 200412 -89.2  31.0  92.7 123.0   0.1 137.9  33.3  69.5 -99.6 -77.4-135.6
 200501 -68.5  13.5  55.0 116.1  31.4 108.7  31.5  93.8 -76.3 -64.7 -83.5
 200502  59.0  27.2  -2.3  82.1  87.2  34.8  57.2  81.0  68.6  49.1  97.7
 200503  67.4  31.4  14.7  86.3  41.7   9.8  95.7 103.8  62.7  70.3  56.2
 200504  60.6  55.7  56.7  63.4  51.9   9.9  60.8  77.4  53.9  62.3  53.8
 200505  55.4  41.7  77.3  64.0  53.7 -12.5  74.4  85.7  48.3  63.0  25.8
 200506  37.9  75.5  65.4  66.1  14.8  -6.3  58.9  65.4  42.0  40.5  27.6
 200507  46.6  89.9  56.9  60.6  28.6  35.0  44.0  39.5  41.1  52.7  22.7
 200508  65.4  67.3  41.2  51.8  32.6  41.6  41.1  63.7  60.6  68.4  53.6
 200509  79.7  48.1  -3.5  59.7  16.6  43.6  37.4  61.6  74.4  80.3  77.3
 200510  47.2  52.5   8.0  61.8  55.0  63.2  11.3  56.2  46.0  49.2  39.4
 200511  73.5  90.1 -46.4  42.2  39.2  52.2  12.6  50.4  67.9  76.0  63.6
 200512  81.1  75.7 -62.2   8.4  77.3  48.7  11.9  30.7  89.3  76.3 100.0
 200601  48.1  43.0 -36.1 -46.3  55.4 116.0  -1.3  59.9  30.1  48.1  48.2
 200602  92.1  44.7 -14.1 -71.0  64.9 125.3  -2.3  69.1  77.1  88.7 105.4
 200603  -8.0  46.5 -39.7 -31.8  34.0 125.5  14.0  52.0 -23.6   0.1 -39.7
 200604  34.4  -2.2  -1.2   2.8  94.8  98.6   6.7  51.2  30.8  35.8  28.8
 200605  48.0 -36.0  33.1  35.4  66.3  84.7  27.4  63.2  53.2  42.7  69.1
 200606  28.3  -2.1  31.0  61.6  31.2  48.2  45.1  61.1  31.5  21.8  53.7
 200607  18.8   5.6  46.4  64.3 -13.9  40.9  30.0  56.2  14.5  14.0  37.4
 200608   1.0  -2.4  70.1  93.1 -24.8  33.7  31.8  78.2 -12.1  -0.6   7.1
 200609  35.0  15.9 120.3 120.3 -14.0  11.6  13.2  82.7  17.1  37.9  23.7
 200610   9.3  12.4 139.2 123.1 -61.9  -7.9   0.7  92.7 -10.6  13.0  -4.9
 200611  -3.6   3.3 138.4 148.7 -26.5   5.9  19.3 105.4 -28.3   4.8 -36.4
 200612 -74.0   5.7 152.7 132.6 -48.9  18.6  29.1  78.6 -86.6 -68.1 -96.9
 200701 -48.0  11.5 117.9  87.6 -22.4 -25.8  33.4 101.2 -58.5 -43.5 -65.4
 200702 -12.5  63.9  21.2  57.4   8.0   5.2  50.3  78.0 -18.9 -13.1  -9.9
 200703   3.5  87.0 -13.4  44.6  10.0  20.0  30.2  60.8  -8.6   5.1  -2.7
 200704  21.6  57.3 -15.8  34.7  27.3  22.5  33.4  60.4   2.3  27.4  -1.1
 200705  60.1  81.0 -41.0  29.1  45.4  75.3  47.7  71.1  36.1  65.4  39.7
 200706  67.7  58.8 -35.0  43.3  55.0  84.1  68.2  73.4  40.1  73.9  43.4
 200707  53.2  56.3 -63.9  32.8  44.8  50.8  50.3  68.6  26.8  58.0  34.3
 200708  38.0  33.0 -99.1  18.7  33.6  54.6  55.2  80.5  18.5  38.2  37.3
 200709  37.3  32.9-110.0 -21.3  54.8  45.8  29.0  79.1  11.8  41.0  22.7
 200710   8.7   9.9-128.8 -51.5  55.5  63.1  39.9  81.3 -11.5  15.7 -18.6
 200711  -0.9  67.9-158.5 -89.5  25.8  37.7  32.4  78.2 -15.8   3.9 -19.4
 200712  25.9 110.8-129.2-100.7  35.8 -31.4  42.2  24.4  22.0  20.4  47.3
 200801  40.0 120.9-123.6-156.6  36.4  -6.6  37.2  82.6  37.0  33.8  64.2
 200802  24.6  62.1-116.3-172.8  47.7 104.8  12.5   1.8  36.2  17.7  51.2
 200803  14.8  45.7 -26.4-132.9  30.9 129.2   4.8  -6.6   3.4  17.0   6.1
 200804  50.1  27.1  -1.6 -95.0  47.5  58.8  25.1  -5.9  47.6  49.0  54.5
 200805  27.8  18.4  39.2 -69.2   4.4  54.7  28.1   6.0  26.2  23.1  46.2
 200806  19.1  44.7  40.4 -48.0   1.3  41.3  49.2  55.0  12.5  12.6  44.6
